ParameterID,CategoryID,ParameterName,Abbreviation,UnitID,FormatID
995,596,"Bloedprodukt nummer","Bloedprodukt nummer",0,NaN
1008,589,"Telefoonnr","Telefoonnr",0,NaN
1009,589,"Telefoonnr (2)","Telefoonnr (2)",0,NaN
1010,589,"Ontslaggegevens","Ontslaggegevens",0,NaN
1011,592,"Sufentanil(forte)","Sufentanil(forte)",11,12
1012,592,"Fentanyl","Fentanyl",11,12
1013,592,"Alfentanil (Rapifen)","Alfentanil (Rapifen)",10,13
1014,652,"Arterielijn 1","Arterielijn 1",0,NaN
1015,652,"Centr. lijn 1 inbrengplaats","Centr. lijn 1 inbrengplaats",0,NaN
1016,652,"Perifere lijn 1 inbrengplaats","Perifere lijn 1 inbrengplaats",0,NaN
1017,652,"Centrale lijn 1","Centrale lijn 1",NaN,NaN
1018,652,"Blaascatheter","Blaascatheter",0,NaN
1019,652,"Perifere lijn 1 maat","Perifere lijn 1 maat",0,NaN
1020,652,"Centr. lijn 1 Resultaat","Centr. lijn 1 Resultaat",0,NaN
1021,653,"Anesthesioloog (1)","Anesthesioloog (1)",NaN,NaN
1022,653,"Functie Anesthesioloog (1)","Functie Anesthesioloog (1)",0,NaN
1023,653,"Anesthesioloog (2)","Anesthesioloog (2)",NaN,NaN
1024,653,"Functie Anesthesioloog (2)","Functie Anesthesioloog (2)",0,NaN
1025,653,"Anesthesie medewerker (1)","Anesthesie medewerker (1)",0,NaN
1026,653,"Anesthesie medewerker (2)","Anesthesie medewerker (2)",0,NaN
1027,653,"Functie Anesthesie medewerker (1)","Functie Anesthesie medewerker (1)",0,NaN
1028,653,"Functie Anesthesie medewerker (2)","Functie Anesthesie medewerker (2)",0,NaN
1029,668,"Perfusionist (1)","Perfusionist (1)",0,NaN
1030,668,"Functie Perfusionist (1)","Functie Perfusionist (1)",0,NaN
1031,668,"Perfusionist (2)","Perfusionist (2)",0,NaN
1032,668,"Functie Perfusionist (2)","Functie Perfusionist (2)",0,NaN
1033,632,"Holding","Holding",0,NaN
1034,632,"Patient besteld","Patient besteld",0,NaN
1037,671,"Chirurgische voorbereiding start","Chirurgische voorbereiding start",0,NaN
1038,671,"Ingreeptijd","Ingreeptijd",0,NaN
1039,632,"Anesthesietijd","Anesthesietijd",0,NaN
1040,632,"Einde inductie","Einde inductie",0,NaN
1041,671,"Patient op operatiekamer","Patient op operatiekamer",0,NaN
1042,671,"Vertrek operatiekamer","Vertrek operatiekamer",0,NaN
1044,652,"Maagsonde","Maagsonde",0,NaN
1045,655,"ETAA","ETAA",0,10
1046,655,"ET N2O","ET N2O",0,10
1048,671,"Pauze chirurg","Pauze chirurg",0,NaN
1049,587,"Bloed in OK","Bloed in OK",6,11
1050,587,"Bloed uit OK","Bloed uit OK",6,11
1051,587,"Bloedbalans OK","Bloedbalans OK",6,11
1052,587,"Totaal in OK","Totaal in OK",6,11
1053,587,"Totaal uit OK","Totaal uit OK",6,11
1054,638,"Priming totaal","Priming totaal",6,11
1055,587,"Totaalbalans OK","Totaalbalans OK",6,11
1056,599,"Flow Index","Flow Index",0,13
1057,644,"CPL druk","CPL druk",0,10
1058,644,"CPL flow","CPL flow",0,10
1059,644,"CPL volume","CPL volume",0,10
1060,644,"CPL Kalium(mmol)","CPL Kalium(mmol)",0,10
1061,587,"Vocht in OK","Vocht in OK",6,11
1062,655,"ET CO2","ET CO2",0,12
722,586,"Temperatuur, delta","Temperatuur, delta",59,12
723,589,"Gehoorbeperking","Gehoorbeperking",0,NaN
724,589,"Gezichtsbeperking","Gezichtsbeperking",0,NaN
725,589,"Protheses","Protheses",0,NaN
726,589,"Mentale beperking bij opname","Mentale beperking bij opname",0,NaN
727,589,"Lichamelijke beperking bij opname","Lichamelijke beperking bij opname",0,NaN
729,635,"Novacor Contr: Peak fill","Novacor Contr: Peak fill",0,11
730,600,"Contr: Medos LVAD P. systole","Contr: Medos LVAD P. systole",173,11
731,600,"Contr: Medos RVAD P. systole","Contr: Medos RVAD P. systole",173,11
732,600,"Contr: Medos RVAD P. diastole","Contr: Medos RVAD P. diastole",173,11
733,600,"Contr: Medos LVAD P. diastole","Contr: Medos LVAD P. diastole",173,11
734,635,"Medos LVAD P.syst/diast","Medos LVAD P.syst/diast",0,NaN
735,635,"Medos RVAD P.syst/diast","Medos RVAD P.syst/diast",0,NaN
737,600,"Contr: Pacemaker aan/uit","Contr: Pacemaker aan/uit",NaN,NaN
738,596,"Uit de ampul","Uit de ampul",6,13
739,596,"Water voor injectie","Water voor injectie",6,13
740,592,"Carbamazepine (Tegretol)","Carbamazepine (Tegretol)",10,11
741,592,"Colecalciferol (Neo-Dohyfral D3, Devaron)","Colecalciferol (Neo-Dohyfral D3, Devaron)",180,11
742,592,"Decontaminatie mondspoeling","Decontaminatie mondspoeling",6,11
743,592,"Desmopressine (Minrin)","Desmopressine (Minrin)",11,13
744,592,"Heparine Natrium","Heparine Natrium",180,12
745,592,"Hydrocortison Natriumsuccinaat (Solu Cortef)","Hydrocortison Natriumsuccinaat (Solu Cortef)",10,12
746,592,"BenzylPenicilline Natrium (Penicilline G natrium)","BenzylPenicilline Natrium (Penicilline G natrium)",180,14
747,592,"Protamine Hydrochloride","Protamine Hydrochloride",10,11
748,592,"Tuberculine (Mantoux)","Tuberculine (Mantoux)",6,12
749,592,"Aprotinine (Trasylol)","Aprotinine (Trasylol)",180,13
750,592,"Cefazoline (Kefzol)","Cefazoline (Kefzol)",10,11
2,586,"Temperatuur rectaal","T rect",59,12
3,586,"Temperatuur huid","T huid",59,12
4,586,"Temperatuur neus","T neus",59,12
5,586,"Hartfrequentie","Hartfrequentie",4,11
6,586,"Hartritme","Hartritme",NaN,NaN
7,586,"AV geleidingsstoornissen","AV geleidingsstoornissen",0,NaN
8,586,"IV geleidingsstoornissen","IV geleidingsstoornissen",0,NaN
9,586,"Ritmestoornissen","Ritmestoornissen",NaN,NaN
10,586,"ABP systole","ABP systole",173,11
11,586,"ABP diastole","ABP diastole",173,11
12,586,"ABP syst/diast","ABP syst/diast",0,NaN
13,586,"ABP mean","ABP mean",173,11
14,586,"NIBP systole","NIBP systole",173,11
15,586,"NIBP diastole","NIBP diastole",173,11
16,586,"NIBP mean","NIBP mean",173,11
17,586,"NIBP syst/diast","NIBP syst/diast",0,NaN
18,586,"SpO2","SpO2",0,16
19,655,"Ademfrequentie","Ademfrequentie",4,11
21,586,"PAP systole","PAP systole",173,11
22,586,"PAP diastole","PAP diastole",173,11
23,586,"PAP mean","PAP mean",173,11
24,586,"PAP syst/diast","PAP syst/diast",0,NaN
25,586,"CVD/RAP","CVD/RAP",173,11
26,586,"Wedge","Wedge",173,11
27,586,"Cardiac output","Cardiac output",26,12
31,586,"LAD","LAD",173,11
41,586,"CaO2","CaO2",0,11
43,712,"Pulsatieplaats (1)","Pulsatieplaats (1)",0,NaN
44,712,"Pulsaties (1)","Pulsaties (1)",0,NaN
47,655,"Ademfrequentie (inst)","Ademfrequentie (inst)",4,11
61,655,"NO (inst)","NO (inst)",31,19
63,655,"Inst: I:E","Inst: I:E",0,NaN
71,655,"N2O (inst)","N2O (inst)",31,11
80,589,"Gewicht","Gewicht",12,10
82,589,"BSA","BSA",17,13
83,586,"Cardiac index","Cardiac index",26,12
84,586,"SVR","SVR",0,13
85,586,"SVRI","SVRI",0,11
86,586,"LVSW","LVSW",0,11
87,586,"SvO2","SvO2",0,10
88,586,"LVSWI","LVSWI",0,11
89,586,"Slagvolume (f)","Slagvolume (f)",0,10
90,586,"Slagvolume index (f)","Slagvolume index (f)",0,10
91,586,"PVR","PVR",0,11
92,586,"PVRI","PVRI",0,11
93,586,"RVSWI","RVSWI",0,12
94,586,"RVSW","RVSW",0,11
95,621,"H2O","H2O",6,11
96,621,"Bloed","Bloed",6,11
97,621,"Colloiden","Colloiden",6,11
98,621,"Plasma","Plasma",6,11
99,621,"H2O IV","H2O IV",6,12
100,587,"Bloedbalans","Bloedbalans",6,11
101,602,"CAD","CAD",6,11
102,602,"Urethercatheter links","Urethercatheter links",6,11
103,602,"Urethercatheter rechts","Urethercatheter rechts",6,11
104,602,"Supra pubis catheter","Supra pubis catheter",6,11
105,602,"Urine","Urine",6,11
106,602,"Urine totaal OK","Urine totaal OK",6,11
107,603,"Thoraxdrain 1","Thoraxdrain 1",6,11
108,603,"Thoraxdrain 2","Thoraxdrain 2",6,11
116,587,"Totaal uit","Totaal uit",6,11
117,603,"Bloedverlies overig","Bloedverlies overig",6,11
118,603,"Wonddrain 1","Wonddrain 1",6,11
119,603,"Wonddrain 2","Wonddrain 2",6,11
120,603,"Wonddrain 3","Wonddrain 3",6,11
122,603,"Wonddrains totaal","Wonddrains totaal",6,11
124,603,"Wondvochtverlies overig","Wondvochtverlies overig",6,11
125,593,"Maaghevel","Maaghevel",6,11
126,593,"Braken","Braken",6,11
127,593,"Maaginhoud overig","Maaginhoud overig",6,11
128,593,"Defecatiepatroon","Defecatiepatroon",NaN,NaN
129,593,"Defaecatie (vochtbalans)","Defaecatie (vochtbalans)",6,11
130,593,"Maaginhoud totaal","Maaginhoud totaal",6,11
131,593,"Defaecatie totaal huidige dag","Defaecatie totaal huidige dag",6,11
132,591,"Liquordrain","Liquordrain",6,11
133,591,"Liquordrain totaal huidige dag","Liquordrain totaal huidige dag",6,11
134,603,"VAC spons","VAC spons",6,11
135,587,"Vocht uit","Vocht uit",6,11
139,655,"Contr: Zuurstof","Contr: Zuurstof",0,16
154,589,"Lengte","Lengte",50,11
155,593,"Water","Water",6,11
156,596,"NaCl 0,9%","NaCl 0,9%",6,13
157,596,"Voluven","Voluven",6,11
158,596,"Erythrocyten","Erythrocyten",6,12
159,596,"Glucose 5%","Glucose 5%",6,13
160,592,"Dopamine","Dopamine",10,12
161,587,"Bloed in","Bloed in",6,11
162,587,"Colloiden in","Colloiden in",6,11
165,593,"Per os/sondevoeding totaal","Per os/sondevoeding totaal",6,11
166,587,"Infuusvloeistoffen totaal","Infuusvloeistoffen totaal",6,11
167,587,"Plasma totaal","Plasma totaal",6,11
168,587,"Vocht in","Vocht in",6,11
169,587,"Totaal in","Totaal in",6,11
170,587,"Totaalbalans","Totaalbalans",6,11
171,587,"Vochtbalans","Vochtbalans",6,11
172,589,"Specialisme","Specialisme",0,NaN
173,734,"TEST CODES DFT","TEST CODES DFT",NaN,NaN
175,589,"Huisarts","Huisarts",0,NaN
176,589,"Allergie overig","Allergie overig",0,NaN
177,589,"Telefoonnummer","Telefoonnummer",0,10
178,589,"Telefoonnummer (2)","Telefoonnummer (2)",0,10
179,589,"Afspraken","Afspraken",0,NaN
180,589,"Religie","Religie",0,NaN
181,589,"Bediend?","Bediend?",0,NaN
184,589,"Leeftijd","Leeftijd",297,11
185,589,"Geboortedatum","Geboortedatum",0,NaN
186,589,"Naam","Naam",0,NaN
187,589,"Naam (2)","Naam (2)",0,NaN
188,589,"Leeftijd1","Leeftijd1",0,10
189,654,"Intubatie.","Intubatie.",0,NaN
190,654,"Extubatie","Extubatie",0,NaN
192,596,"NaCl 0,65%","NaCl 0,65%",6,11
193,596,"Glucose 2,5%","Glucose 2,5%",6,12
194,596,"Glucose 2,5%/NaCl 0,45%","Glucose 2,5%/NaCl 0,45%",6,12
195,596,"Glucose 10%","Glucose 10%",6,12
197,596,"Glucose 40%","Glucose 40%",6,12
198,596,"Ringer Lactaat","Ringer Lactaat",6,11
199,596,"Ringer oplossing","Ringer oplossing",6,11
200,596,"Albumine 20%","Albumine 20%",6,12
201,596,"Glucose 20%","Glucose 20%",6,12
205,596,"Humaan plasma (FFP)","Humaan plasma (FFP)",6,11
206,596,"Thrombocyten concentraat","Thrombocyten concentraat",6,11
207,596,"Dextran 40% in glucose","Dextran 40% in glucose",6,11
208,596,"Dextran 40% in NaCl","Dextran 40% in NaCl",6,11
209,596,"Natriumbicarbonaat 8,4%","Natriumbicarbonaat 8,4%",6,12
210,596,"Natriumbicarbonaat 1,4%","Natriumbicarbonaat 1,4%",6,12
211,596,"Cellsaver","Cellsaver",6,11
212,593,"Vloeibaar/per os","Vloeibaar/per os",6,11
218,596,"Mannitol 20%","Mannitol 20%",6,12
223,814,"Drain spoelsysteem.","Drain spoelsysteem.",6,11
225,587,"Spoelbalans","Spoelbalans",6,11
226,596,"NaCl 0,9% spoel","NaCl 0,9% spoel",6,11
227,596,"Povidon Jood spoel","Povidon Jood spoel",6,11
230,602,"Nefrostomie links","Nefrostomie links",6,11
231,602,"Nefrostomie rechts","Nefrostomie rechts",6,11
272,603,"Pleuradrain","Pleuradrain",6,11
302,591,"Ogen openen","Ogen openen",NaN,NaN
303,591,"Verbale reactie","Verbale reactie",NaN,NaN
304,591,"Motorische reactie","Motorische reactie",NaN,NaN
305,591,"Pupilreactie Li","Pupilreactie Li",0,NaN
306,591,"Pupilverschil","Pupilverschil",0,NaN
307,591,"ICP","ICP",173,11
308,591,"CPP","CPP",173,11
309,600,"Contr: IABP instelling","Contr: IABP instelling",NaN,NaN
310,600,"Contr: Type LVAD/RVAD","Contr: Type LVAD/RVAD",NaN,NaN
311,600,"Contr: Biomedicus Type instelling: LVAD/RVAD","Type instelling Biomedicus: LVAD/RVAD",0,NaN
312,730,"Relevante belijning (FT)","Relevante belijning (FT)",NaN,NaN
313,635,"Slagvolume LVAD/RVAD","Slagvolume LVAD/RVAD",6,11
314,635,"Residu volume LVAD/RVAD","Residu volume LVAD/RVAD",6,11
320,595,"Inst: CVVH temperatuur","Inst: CVVH temperatuur",59,12
321,595,"Contr: CVVH temperatuur","Contr: CVVH temperatuur",59,12
322,595,"Contr: Aanvoerdruk","Contr: Aanvoerdruk",173,11
323,595,"Contr: Teruggavedruk","Contr: Teruggavedruk",173,11
324,595,"Contr: TMP","Contr: TMP",173,11
326,595,"Inst: Bloedflow","Inst: Bloedflow",24,11
329,595,"Contr: Extrafiltraat","Contr: Extrafiltraat",6,11
332,592,"Acetylcysteine (Fluimucil)","Acetylcysteine (Fluimucil)",10,11
334,592,"Adrenaline (Epinefrine)","Adrenaline (Epinefrine)",10,13
335,592,"Adenosine (Adenocor)","Adenosine (Adenocor)",10,11
336,592,"Amfotericine B (Fungizone)","Amfotericine B (Fungizone)",10,12
337,592,"Amiodaron Hydrochloride (Cordarone)","Amiodaron Hydrochloride (Cordarone)",10,13
338,592,"Amoxicilline (Clamoxyl)","Amoxicilline (Clamoxyl)",10,12
339,592,"Atracurium Dibesilaat (Tracrium)","Atracurium Dibesilaat (Tracrium)",10,12
340,592,"Atropine sulfaat","Atropine sulfaat",10,14
341,592,"Baclofen (Lioresal)","Baclofen (Lioresal)",10,13
343,657,"Bupivacaine","Bupivacaine",10,12
344,592,"Calciumlevulaat.","Calciumlevulaat.",10,12
345,592,"Captopril","Captopril",10,13
346,592,"Carbasalaatcalcium (Ascal)","Carbasalaatcalcium (Ascal)",10,12
347,592,"Ceftazidim (Fortum)","Ceftazidim (Fortum)",10,12
348,592,"Cefuroxim (Zinacef)","Cefuroxim (Zinacef)",10,12
350,592,"Chloorpromazine","Chloorpromazine",10,11
351,592,"Chloralhydraat","Chloralhydraat",10,11
352,592,"Ciclosporine (Neoral, Sandimmune)","Ciclosporine (Neoral, Sandimmune)",10,11
353,592,"Clemastine (Tavegil)","Clemastine (Tavegil)",10,11
354,592,"Clindamycine (Dalacin)","Clindamycine (Dalacin)",10,11
355,592,"Clonazepam (Rivotril)","Clonazepam (Rivotril)",10,13
356,592,"Clopidogrel (Plavix)","Clopidogrel (Plavix)",10,13
357,592,"Codeine","Codeine",10,11
360,592,"Dexamethason","Dexamethason",10,12
361,592,"Diazepam (Valium, Stesolid)","Diazepam (Valium, Stesolid)",10,12
362,592,"Digoxine (Lanoxin)","Digoxine (Lanoxin)",10,15
363,592,"Dobutamine","Dobutamine",10,12
364,592,"Domperidon (Motilium)","Domperidon (Motilium)",10,12
365,592,"Drotrecogin alfa (Xigris)","Drotrecogin alfa (Xigris)",10,11
366,592,"Enalapril (Renitec)","Enalapril (Renitec)",10,14
367,592,"Enoxaparine Natrium (Clexane)","Enoxaparine Natrium (Clexane)",10,11
368,592,"Enoximon (Perfan)","Enoximon (Perfan)",10,13
369,592,"Erythromycine (Erythrocine)","Erythromycine (Erythrocine)",10,12
370,592,"Etomidaat (Hypnomidate)","Etomidaat (Hypnomidate)",10,12
371,592,"Fenobarbital","Fenobarbital",10,11
372,592,"Fenprocoumon (Marcoumar)","Fenprocoumon (Marcoumar)",10,12
373,592,"Fenylefrine Hydrochloride","Fenylefrine Hydrochloride",10,14
374,592,"Fenytoine (Diphantoine)","Fenytoine (Diphantoine)",10,11
375,592,"Flucloxacilline (Floxapen, Stafoxil)","Flucloxacilline (Floxapen, Stafoxil)",10,12
376,592,"Flumazenil (Anexate)","Flumazenil (Anexate)",10,12
377,592,"Foliumzuur","Foliumzuur",10,12
378,592,"Furosemide (Lasix)","Furosemide (Lasix)",10,13
379,592,"Fytomenadion Vitamine K1(Konakion)","Fytomenadion Vitamine K1(Konakion)",10,12
380,592,"Gentamicine (Garamycine)","Gentamicine (Garamycine)",10,11
381,592,"Haloperidol (Haldol)","Haloperidol (Haldol)",10,14
383,592,"Hoestdrank (mixtura resolvens)","Hoestdrank (mixtura resolvens)",10,11
384,592,"Hydrocortison Natriumfosfaat","Hydrocortison Natriumfosfaat",10,12
386,592,"Ipratropium Bromide (Atrovent)","Ipratropium Bromide (Atrovent)",11,11
387,592,"Isoprenaline","Isoprenaline",10,13
389,592,"Kaliumchloride","Kaliumchloride",94,13
390,592,"Ketanserin (Ketensin)","Ketanserin (Ketensin)",10,12
391,592,"Kool geactiveerd (Norit)","Kool geactiveerd (Norit)",9,11
392,592,"Labetalol (Trandate)","Labetalol (Trandate)",10,12
394,592,"Levothyroxine Natrium (Thyrax, Euthyrox, Eltroxin)","Levothyroxine Natrium (Thyrax, Euthyrox, Eltroxin)",11,11
395,592,"Lidocaine (Xylocard, Xylocaine)","Lidocaine (Xylocard, Xylocaine)",10,13
396,592,"Lorazepam (Temesta)","Lorazepam (Temesta)",10,13
397,592,"Magnesiumsulfaat","Magnesiumsulfaat",10,12
398,592,"Methadon","Methadon",10,13
399,592,"Methylprednisolon (Solu-Medrol)","Methylprednisolon (Solu-Medroll)",10,13
400,592,"Metoclopramide (Primperan)","Metoclopramide (Primperan)",10,11
401,592,"Metronidazol (Flagyl)","Metronidazol (Flagyl)",10,11
403,592,"Midazolam","Midazolam",10,13
404,592,"Morfine","Morfine",10,13
405,592,"Mycofenolaat (Cellcept)","Mycofenolaat (Cellcept)",10,11
406,592,"Nadroparine (Fraxiparine)","Nadroparine (Fraxiparine)",180,11
407,592,"Actrapid (Insuline Gewoon)","Actrapid (Insuline Gewoon)",180,13
408,592,"Naloxon (Narcan)","Naloxon (Narcan)",10,13
409,592,"Nimodipine (Nimotop)","Nimodipine (Nimotop)",10,12
410,592,"Nitrazepam (Mogadon)","Nitrazepam (Mogadon)",10,11
411,592,"Nitrofurantoine (Furandantine Mc)","Nitrofurantoine (Furandantine Mc)",10,11
412,592,"Nitroglycerine","Nitroglycerine",10,12
413,592,"Nitroprusside","Nitroprusside",10,12
414,592,"Noradrenaline (Norepinefrine)","Noradrenaline (Norepinefrine)",10,13
415,592,"Norfloxacine (Noroxin)","Norfloxacine (Noroxin)",10,11
416,592,"Octreotide (Sandostatine)","Octreotide (Sandostatine)",10,12
417,592,"Ondansetron (Zofran)","Ondansetron (Zofran)",10,13
418,592,"Oxazepam (Seresta)","Oxazepam (Seresta)",10,11
419,592,"Pantoprazol (Pantozol)","Pantoprazol (Pantozol)",10,11
420,592,"Paracetamol","Paracetamol",10,11
421,592,"Pethidine","Pethidine",10,11
422,592,"Polymyxine 500.000 IE Neomycine 125 mgr","Polymyxine 500.000 IE Neomycine 125 mgr",316,11
423,592,"Prednisolon","Prednisolon",10,12
424,592,"Procainamide Hydrochloride (Pronestyl)","Procainamide Hydrochloride (Pronestyl)",10,11
425,592,"Propofol (Diprivan)","Propofol (Diprivan)",10,13
427,592,"Protrombine complex (Cofact)","Protrombine complex (Cofact)",180,11
428,592,"Ranitidine (Zantac)","Ranitidine (Zantac)",10,11
429,592,"Rifampicine (Rifadin)","Rifampicine (Rifadin)",10,11
430,592,"Rocuronium (Esmeron)","Rocuronium (Esmeron)",10,12
431,592,"Salbutamol (Ventolin)","Salbutamol (Ventolin)",10,12
432,592,"Sotalol (Sotacor)","Sotalol (Sotacor)",10,11
433,592,"Sufentanil","Sufentanil",11,15
434,592,"Suxamethonium (Curalest)","Suxamethonium (Curalest)",10,11
435,592,"Temazepam (Normison)","Temazepam (Normison)",10,11
436,592,"Terlipressine Diacetaat (Glypressine)","Terlipressine Diacetaat (Glypressine)",10,13
437,592,"Tetracosactide (Synacthen)","Tetracosactide (Synacthen)",11,11
438,592,"Theofylline","Theofylline",10,11
439,592,"Thiamine Hydrochloride","Thiamine Hydrochloride",10,11
443,592,"Urokinase (Medacinase)","Urokinase (Medacinase)",180,13
444,592,"Valproaat Natrium (Depakine)","Valproaat Natrium (Depakine)",10,11
445,592,"Vancomycine (Vancocin)","Vancomycine (Vancocin)",10,12
446,592,"Zuclopentixol (Cisordinol)","Zuclopentixol (Cisordinol)",10,11
448,592,"Plantago Ovata Zaadhuid (Metamucil)","Plantago Ovata Zaadhuid (Metamucil)",9,12
450,592,"Acenocoumarol (Sintrom mitis)","Acenocoumarol (Sintrom mitis)",10,11
451,592,"Aciclovir (Zovirax)","Aciclovir (Zovirax)",10,11
452,592,"Alfuzosine (Urion, Xatral)","Alfuzosine (Urion, Xatral)",10,12
453,592,"Allopurinol (Zyloric)","Allopurinol (Zyloric)",10,11
455,592,"Amitriptyline Hydrochloride (Tryptizol)","Amitriptyline Hydrochloride (Tryptizol)",10,11
456,592,"Amlodipine (Norvasc)","Amlodipine (Norvasc)",10,12
457,592,"Atenolol (Tenormin)","Atenolol (Tenormin)",10,11
458,592,"Atorvastatine (Lipitor)","Atorvastatine (Lipitor)",10,11
459,592,"Bisoprolol Fumaraat (Emcor)","Bisoprolol Fumaraat (Emcor)",10,12
460,592,"Bumetanide (Burinex)","Bumetanide (Burinex)",10,12
461,592,"Calciumcarbonaat (Calcichew)","Calciumcarbonaat (Calcichew)",10,11
463,592,"Carvedilol (Eucardic)","Carvedilol (Eucardic)",10,14
466,592,"Ciprofloxacine (Ciproxin)","Ciprofloxacine (Ciproxin)",10,12
467,592,"Citalopram (Cipramil)","Citalopram (Cipramil)",10,11
468,592,"Clonidine Hydrochloride (Catapresan)","Clonidine Hydrochloride (Catapresan)",11,14
469,592,"Clorazepinezuur (Tranxene)","Clorazepinezuur (Tranxene)",10,12
471,592,"Co-trimoxazol (Bactrimel)","Co-trimoxazol (Bactrimel)",10,11
472,592,"Danaparoide Natrium (Orgaran)","Danaparoide Natrium (Orgaran)",180,12
474,592,"Didanosine (Videx)","Didanosine (Videx)",10,11
476,592,"Diltiazem Hydrochloride (Tildiem)","Diltiazem Hydrochloride (Tildiem)",10,11
477,592,"Doxycycline (Vibramycine, Doxymycin)","Doxycycline (Vibramycine, Doxymycin)",10,11
478,592,"Esketamine (Ketanest-S)","Esketamine (Ketanest-S)",10,12
480,592,"Fluconazol (Diflucan)","Fluconazol (Diflucan)",10,11
481,592,"Granisetron (Kytril)","Granisetron (Kytril)",10,13
482,592,"Isosorbidedinitraat (Cedocard)","Isosorbidedinitraat (Cedocard)",10,11
483,592,"Isosorbidemononitraat (Monocedocard, Promocard) gereguleerde afgifte","Isosorbidemononitraat (Monocedocard, Promocard) ge",10,11
484,592,"Lactulose sachet (Legendal)","Lactulose sachet (Legendal)",9,11
485,592,"Lamivudine (Epivir, Zeffix)","Lamivudine (Epivir, Zeffix)",10,11
486,592,"Liothyronine Natrium","Liothyronine Natrium",11,11
487,592,"Lisinopril (Novatec, Zestril)","Lisinopril (Novatec, Zestril)",10,13
488,592,"Loperamide (Imodium)","Loperamide (Imodium)",10,11
489,592,"Lynestrenol (Orgametril)","Lynestrenol (Orgametril)",10,11
490,592,"Meropenem (Meronem)","Meropenem (Meronem)",10,11
491,592,"Metformine (Glucophage)","Metformine (Glucophage)",10,11
492,592,"Methylfenidaat Hydrochloride (Ritalin)","Methylfenidaat Hydrochloride (Ritalin)",10,11
493,592,"Pipamperon (Dipiperon)","Pipamperon (Dipiperon)",10,11
494,592,"Pipemidinezuur (Pipram)","Pipemidinezuur (Pipram)",10,11
495,592,"Pravastatine (Selektine)","Pravastatine (Selektine)",10,11
496,592,"Promethazine (Phenergan)","Promethazine (Phenergan)",10,11
498,592,"Propafenon (Rythmonorm)","Propafenon (Rythmonorm)",10,13
499,592,"Remifentanil","Remifentanil",11,13
502,592,"Spironolacton (Aldactone)","Spironolacton (Aldactone)",10,12
503,592,"Thalidomide (Softenon)","Thalidomide (Softenon)",10,11
504,592,"Thiopental Natrium (Penthotal)","Thiopental Natrium (Penthotal)",10,11
505,592,"Tobramycine (Obracin)","Tobramycine (Obracin)",10,11
506,592,"Tolbutamide","Tolbutamide",10,11
507,592,"Tranexaminezuur (Cyclokapron)","Tranexaminezuur (Cyclokapron)",10,11
508,592,"Ursodeoxycholzuur (Ursofalk)","Ursodeoxycholzuur (Ursofalk)",10,11
509,592,"Zolpidem tartraat (Stilnoct)","Zolpidem tartraat (Stilnoct)",10,11
510,592,"Zopiclon (Imovane)","Zopiclon (Imovane)",10,13
511,586,"Blaasdruk","Blaasdruk",173,11
512,586,"Buikomvang","Buikomvang",50,12
513,586,"Temperatuur, axillair","Temperatuur, axillair",59,12
514,586,"Temperatuur oor","Temp oor",59,12
515,596,"Elohaes","Elohaes",6,11
516,591,"Pupilgrootte links","Pupilgrootte links",NaN,NaN
517,591,"Pupilgrootte rechts","Pupilgrootte rechts",NaN,NaN
518,600,"Contr: Biomedicus toerental  LVAD /rpm","Contr: Biomedicus toerental  LVAD /rpm",15,11
